inflacao,data_base,carteira_ativa
0.08,2012-06,2059094671073.28
0.43,2012-07,2113076154100.9
0.41,2012-08,2143518228626.03
0.57,2012-09,2126198575321.74
0.59,2012-10,2198128147899.12
0.6,2012-11,2230829916599.86
0.79,2012-12,2278845455910.18
0.86,2013-01,2285266733517.79
0.6,2013-02,2300008352494.31
0.47,2013-03,2283097027886.52
0.55,2013-04,2356466963761.97
0.37,2013-05,2393857893585.53
0.26,2013-06,2385140945336.44
0.03,2013-07,2450938932459.35
0.24,2013-08,2479780038649.52
0.35,2013-09,2500875636599.99
0.57,2013-10,2522317330434.62
0.54,2013-11,2508184356130.52
0.92,2013-12,2626841619117.03
0.55,2014-01,2643943250531.0
0.69,2014-02,2664630887998.24
0.92,2014-03,2686385331025.3
0.67,2014-04,2717054123589.95
0.46,2014-05,2746080694911.84
0.4,2014-06,2776794763410.64
0.01,2014-07,2783657177570.96
0.25,2014-08,2812530869889.51
0.57,2014-09,2844255180509.28
0.42,2014-10,2872087041640.12
0.51,2014-11,2910486864504.6
0.78,2014-12,2969768581987.98
1.24,2015-01,2958267923842.63
1.22,2015-02,2964334987820.17
1.32,2015-03,2997362396961.55
0.71,2015-04,3001749648607.74
0.74,2015-05,3019331200608.29
0.79,2015-06,3036674096249.34
0.62,2015-07,3043237726187.57
0.22,2015-08,3065917297296.19
0.54,2015-09,3094879015974.52
0.82,2015-10,3088490032383.9
1.01,2015-11,3108872416170.08
0.96,2015-12,3153482029157.14
1.27,2016-01,3128933000968.81
0.9,2016-02,3118406102836.73
0.43,2016-03,3102225024952.34
0.61,2016-04,3087087922359.41
0.78,2016-05,3086196826962.39
0.35,2016-06,3093895310817.87
0.52,2016-07,3079078151086.1
0.44,2016-08,3082143292351.24
0.08,2016-09,3075901882333.08
0.26,2016-10,3058524503471.79
0.18,2016-11,3062647659772.61
0.3,2016-12,3061831498719.21
0.38,2017-01,3033835976175.46
0.33,2017-02,3030222684026.02
0.25,2017-03,3041039842458.22
0.14,2017-04,3029030876872.53
0.31,2017-05,3029324393436.94
-0.23,2017-06,3035452628767.9
0.24,2017-07,2997806832614.27
0.19,2017-08,3000367244888.07
0.16,2017-09,2998612572831.63
0.42,2017-10,3000693676060.61
0.28,2017-11,3010971417653.81
0.44,2017-12,3030831628366.0
0.29,2018-01,3021584561326.65
0.32,2018-02,3017522075503.56
0.09,2018-03,3037707407873.91
0.22,2018-04,3045992039553.6
0.4,2018-05,3059710013074.11
1.26,2018-06,3077651174576.32
0.33,2018-07,3072710722058.71
-0.09,2018-08,3107612485447.86
0.48,2018-09,3109448863222.13
0.45,2018-10,3109954951363.48
-0.21,2018-11,3148485745783.02
0.15,2018-12,3202695717403.0
0.32,2019-01,3170061850295.6
0.43,2019-02,3177410553268.27
0.75,2019-03,3213677804059.18
0.57,2019-04,3216124078090.24
0.13,2019-05,3236444922330.82
0.01,2019-06,3232226910285.99
0.19,2019-07,3242688308619.97
0.11,2019-08,3271853615646.11
-0.04,2019-09,3318634497276.57
0.1,2019-10,3319691938050.44
0.51,2019-11,3373742876801.25
1.15,2019-12,3410647048896.23
0.21,2020-01,3403839448153.26
0.25,2020-02,3418893206640.06
0.07,2020-03,3509211673713.39
-0.31,2020-04,3518886095683.21
-0.38,2020-05,3531208923365.34
0.26,2020-06,3576595721804.02
0.36,2020-07,3615441659577.9
0.24,2020-08,3682455888875.56
0.64,2020-09,3760524146398.59
0.86,2020-10,3829101122695.03
0.89,2020-11,3912322402814.11
1.35,2020-12,3971685781755.89
0.25,2021-01,3975131802681.16
0.86,2021-02,4002289646270.63
0.93,2021-03,4060904575555.79
0.31,2021-04,4085393435993.21
0.83,2021-05,4131689683435.43
0.53,2021-06,4174126784523.57
0.96,2021-07,4234003612387.59
0.87,2021-08,4304818820379.88
1.16,2021-09,4397185474899.58
1.25,2021-10,4461389319160.91
0.95,2021-11,4537631852260.2
0.73,2021-12,4625378894388.72
0.54,2022-01,4629322656378.32
1.01,2022-02,4672045090972.8
1.62,2022-03,4733049347730.56
1.06,2022-04,4772166772719.78
0.47,2022-05,4825757959165.22
0.67,2022-06,4903793007707.32
-0.68,2022-07,4942636734016.09
-0.36,2022-08,5024851584048.1
-0.29,2022-09,5115935487164.13
0.59,2022-10,5147684508463.35
0.41,2022-11,5211899031162.96
0.62,2022-12,5291707790889.79
0.53,2023-01,5278534608555.19
0.84,2023-02,5286283602438.91
0.71,2023-03,5344335523475.35
0.61,2023-04,5338382742049.49
0.23,2023-05,5365162160918.56
-0.08,2023-06,5385203691082.07
0.12,2023-07,5384214514022.47
0.23,2023-08,5466992379003.58
